族語,方言別,縣,鄉鎮市,村里
泰雅語,宜蘭澤敖利泰雅語,宜蘭縣,大同鄉,"['寒溪村', '四季村', '崙埤村', '松羅村', '復興村', '英士村', '樂水村', '茂安村', '南山村']"
泰雅語,宜蘭澤敖利泰雅語,宜蘭縣,冬山鄉,['大進村']
排灣語,東排灣語,臺東縣,達仁鄉,"['臺坂村', '土坂村', '新化村', '安朔村', '森永村', '南田村']"
排灣語,東排灣語,臺東縣,大武鄉,"['大竹村', '大鳥村', '大武村', '尚武村', '南興村']"
排灣語,東排灣語,臺東縣,金峰鄉,"['新興村', '正興村', '嘉蘭村', '賓茂村', '壢坵村']"
排灣語,東排灣語,臺東縣,太麻里鄉,"['大王村', '北里村', '金崙村', '多良村', '香蘭村']"
排灣語,北排灣語,屏東縣,三地門鄉,"['青山村', '安坡村', '馬兒村', '口社村', '賽嘉村', '三地村', '達來村', '德文村', '大社村', '青葉村']"
排灣語,北排灣語,屏東縣,瑪家鄉,"['三和村', '北葉村', '瑪家村', '涼山村', '佳義村', '排灣村']"
排灣語,中排灣語,屏東縣,來義鄉,"['古樓村', '來義村', '丹林村', '義林村', '文樂村', '望嘉村', '南和村']"
排灣語,中排灣語,屏東縣,萬巒鄉,['成德村']
排灣語,中排灣語,屏東縣,泰武鄉,"['萬安村', '佳平村', '武潭村', '佳興村', '泰武村', '平和村']"
排灣語,中排灣語,屏東縣,春日鄉,"['七佳村', '歸崇村', '力里村', '古華村']"
排灣語,南排灣語,屏東縣,獅子鄉,"['楓林村', '竹坑村', '丹路村', '草埔村', '內文村', '南世村', '和平村', '內獅村', '獅子村']"
排灣語,南排灣語,屏東縣,牡丹鄉,"['石門村', '牡丹村', '高士村', '旭海村', '四林村', '東源村']"
排灣語,南排灣語,屏東縣,滿州鄉,"['長樂村', '滿州村', '港口村', '里德村', '响林村', '永靖村', '港仔村', '九棚村']"
排灣語,南排灣語,屏東縣,春日鄉,"['士文村', '春日村', '古華村']"
布農語,卓群布農語,南投縣,仁愛鄉,"['萬豐村', '法治村', '中正村']"
布農語,卓群布農語,南投縣,信義鄉,['望美村']
布農語,卡群布農語,南投縣,信義鄉,"['潭南村', '地利村', '雙龍村']"
布農語,丹群布農語,南投縣,信義鄉,['地利村']
布農語,丹群布農語,花蓮縣,萬榮鄉,['馬遠村']
布農語,丹群布農語,花蓮縣,瑞穗鄉,['奇美村']
布農語,巒群布農語,南投縣,信義鄉,"['雙龍村', '人和村', '豐丘村', '明德村', '望美村', '新鄉村']"
布農語,巒群布農語,花蓮縣,萬榮鄉,"['馬遠村', '紅葉村', '見晴村', '萬榮村', '明利村', '西林村']"
布農語,巒群布農語,花蓮縣,卓溪鄉,"['古風村', '卓清村', '卓溪村', '太平村', '崙山村']"
布農語,巒群布農語,花蓮縣,新城鄉,"['嘉里村', '佳林村']"
布農語,郡群布農語,南投縣,信義鄉,"['東埔村', '望美村', '明德村', '羅娜村']"
